sample	scallingFcator
pvs1	0.26913662316970277
pvs2	0.11525634393968313
egg1	0.10846571664437878
egg2	0.09802270558743145
emb1	0.029654281783229396
emb2	0.03353786624649534
nym1	0.03429917406559875
nym2	0.0412449712068856
